訂單編號,日期,門市,城市,產品,類別,單價,數量,金額,付款方式,會員編號
ORD-25721,2026-06-23,台中西屯店,台中,卡布奇諾,咖啡,110,2,220,LINE Pay,
ORD-12996,2026-02-02,板橋車站店,新北,可頌,甜點,65,1,65,現金,M0107
ORD-13032,2026-02-02,高雄夢時代店,高雄,拿鐵,咖啡,110,1,110,現金,
ORD-21588,2026-05-08,板橋車站店,新北,冷萃咖啡,咖啡,140,1,140,信用卡,M0480
ORD-19735,2026-04-17,高雄夢時代店,高雄,焦糖瑪奇朵,咖啡,130,2,260,信用卡,M0020
ORD-25215,2026-06-17,高雄夢時代店,高雄,卡布奇諾,咖啡,110,1,110,信用卡,
ORD-21546,2026-05-07,高雄夢時代店,高雄,焦糖瑪奇朵,咖啡,130,1,130,信用卡,
ORD-11484,2026-01-17,信義旗艦店,台北,拿鐵,咖啡,110,3,330,LINE Pay,M0371
ORD-14226,2026-02-15,高雄夢時代店,高雄,美式咖啡,咖啡,75,3,225,LINE Pay,
ORD-23858,2026-06-02,竹北高鐵店,新竹,冷萃咖啡,咖啡,140,1,140,行動支付,M0118
ORD-14224,2026-02-15,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,行動支付,
ORD-23035,2026-05-24,公館店,台北,抹茶拿鐵,非咖啡飲品,120,1,120,現金,
ORD-26191,2026-06-28,台中西屯店,台中,拿鐵,咖啡,110,1,110,LINE Pay,
ORD-25292,2026-06-18,高雄夢時代店,高雄,冷萃咖啡,咖啡,140,1,140,信用卡,M0012
ORD-11265,2026-01-14,竹北高鐵店,新竹,蜂蜜柚子茶,非咖啡飲品,95,3,285,信用卡,
ORD-16563,2026-03-14,公館店,台北,拿鐵,咖啡,110,1,110,信用卡,
ORD-16036,2026-03-08,公館店,臺北,卡布奇諾,咖啡,110,1,110,LINE Pay,M0080
ORD-23369,2026-05-28,信義旗艦店,台北,冷萃咖啡,咖啡,140,1,140,現金,M0131
ORD-23509,2026-05-29,高雄夢時代店,高雄,冷萃咖啡,咖啡,140,1,140,信用卡,
ORD-13982,2026-02-13,台中西屯店,台中,卡布奇諾,咖啡,110,2,220,信用卡,M0449
ORD-14057,2026-02-14,公館店,台北,可頌,甜點,65,1,65,信用卡,
ORD-18657,2026-04-05,竹北高鐵店,新竹,美式咖啡,咖啡,75,1,75,信用卡,
ORD-16983,2026-03-18,高雄夢時代店,高雄,焦糖瑪奇朵,咖啡,130,1,130,信用卡,
ORD-18353,2026-04-02,板橋車站店,新北,美式咖啡,咖啡,75,1,75,信用卡,M0050
ORD-25450,2026-06-20,竹北高鐵店,新竹,美式咖啡,咖啡,75,1,75,LINE Pay,M0006
ORD-22525,2026-05-18,台中西屯店,台中,巴斯克起司蛋糕,甜點,120,1,120,現金,
ORD-10265,2026-01-03,高雄夢時代店,高雄,焦糖瑪奇朵,咖啡,130,2,260,信用卡,
ORD-24459,2026-06-09,信義旗艦店,台北,卡布奇諾,咖啡,110,1,110,信用卡,
ORD-24387,2026-06-08,公館店,台北,抹茶拿鐵,非咖啡飲品,120,2,240,LINE Pay,M0291
ORD-23185,2026-05-25,高雄夢時代店,高雄,拿鐵,咖啡,110,1,110,LINE Pay,
ORD-23786,2026-06-01,台中西屯店,台中,蜂蜜柚子茶,非咖啡飲品,95,1,95,行動支付,
ORD-14705,2026-02-21,竹北高鐵店,新竹,拿鐵,咖啡,110,1,110,LINE Pay,M0082
ORD-24888,2026-06-14,公館店,台北,拿鐵,咖啡,110,1,110,現金,M0418
ORD-15370,2026-03-01,信義旗艦店,台北,卡布奇諾,咖啡,110,1,110,LINE Pay,
ORD-16753,2026-03-15,高雄夢時代店,高雄,拿鐵,咖啡,110,2,220,LINE Pay,M0108
ORD-10068,2026-01-01,高雄夢時代店,高雄,拿鐵,咖啡,110,2,220,行動支付,M0288
ORD-10782,2026-01-09,竹北高鐵店,新竹,拿鐵,咖啡,110,1,110,信用卡,
ORD-10785,2026-01-09,台中西屯店,台中,拿鐵,咖啡,110,1,110,行動支付,
ORD-18653,2026-04-05,竹北高鐵店,新竹,可頌,甜點,65,2,130,LINE Pay,M0347
ORD-24906,2026-06-14,竹北高鐵店,新竹,美式咖啡,咖啡,75,1,75,信用卡,
ORD-20565,2026-04-26,竹北高鐵店,新竹,巴斯克起司蛋糕,甜點,120,3,360,信用卡,M0163
ORD-21855,2026-05-10,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,行動支付,M0342
ORD-19668,2026-04-17,信義旗艦店,台北,可頌,甜點,65,2,130,信用卡,
ORD-17894,2026-03-28,竹北高鐵店,新竹,拿鐵,咖啡,110,1,110,LINE Pay,
ORD-20106,2026-04-21,竹北高鐵店,新竹,美式咖啡,咖啡,75,2,150,信用卡,M0273
ORD-21426,2026-05-06,竹北高鐵店,新竹,卡布奇諾,咖啡,110,3,330,信用卡,M0317
ORD-23685,2026-05-31,竹北高鐵店,新竹,焦糖瑪奇朵,咖啡,130,1,130,行動支付,
ORD-13315,2026-02-06,信義旗艦店,台北,巴斯克起司蛋糕,甜點,120,1,120,現金,M0020
ORD-15151,2026-02-26,高雄夢時代店,高雄,抹茶拿鐵,非咖啡飲品,120,1,120,信用卡,M0404
ORD-22666,2026-05-20,公館店,台北,拿鐵,咖啡,110,1,110,LINE Pay,
ORD-25433,2026-06-20,板橋車站店,新北,抹茶拿鐵,非咖啡飲品,120,1,120,行動支付,
ORD-16511,2026-03-13,高雄夢時代店,高雄,拿鐵,咖啡,110,2,220,信用卡,M0343
ORD-25448,2026-06-20,竹北高鐵店,新竹,蜂蜜柚子茶,非咖啡飲品,95,1,95,信用卡,
ORD-16794,2026-03-16,竹北高鐵店,新竹,蜂蜜柚子茶,非咖啡飲品,95,1,95,LINE Pay,
ORD-20979,2026-05-01,台中西屯店,台中,美式咖啡,咖啡,75,1,75,行動支付,
ORD-19632,2026-04-16,台中西屯店,台中,焦糖瑪奇朵,咖啡,130,1,130,行動支付,M0217
ORD-16684,2026-03-15,公館店,台北,拿鐵,咖啡,110,1,110,信用卡,
ORD-23098,2026-05-24,高雄夢時代店,高雄市,抹茶拿鐵,非咖啡飲品,120,1,120,現金,M0461
ORD-22307,2026-05-16,板橋車站店,新北,拿鐵,咖啡,110,2,220,行動支付,
ORD-18692,2026-04-05,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,LINE Pay,
ORD-23516,2026-05-29,高雄夢時代店,高雄,肉桂捲,甜點,85,1,85,LINE Pay,M0060
ORD-24130,2026-06-05,高雄夢時代店,高雄,肉桂捲,甜點,85,1,85,信用卡,
ORD-20977,2026-05-01,竹北高鐵店,新竹,美式咖啡,咖啡,75,1,75,現金,
ORD-23100,2026-05-24,高雄夢時代店,高雄,抹茶拿鐵,非咖啡飲品,120,1,120,信用卡,
ORD-22383,2026-05-17,信義旗艦店,台北,冷萃咖啡,咖啡,140,1,140,信用卡,M0316
ORD-15332,2026-02-28,高雄夢時代店,高雄,美式咖啡,咖啡,75,2,150,LINE Pay,M0079
ORD-15861,2026-03-06,板橋車站店,新北,卡布奇諾,咖啡,110,1,110,現金,M0468
ORD-13446,2026-02-07,台中西屯店,台中,拿鐵,咖啡,110,1,110,現金,
ORD-21677,2026/05/09,公館店,台北,抹茶拿鐵,非咖啡飲品,120,1,120,行動支付,
ORD-25168,2026-06-17,板橋車站店,新北,拿鐵,咖啡,110,1,110,信用卡,
ORD-24253,2026-06-07,信義旗艦店,台北,巴斯克起司蛋糕,甜點,120,1,120,信用卡,M0200
ORD-13175,2026-02-04,竹北高鐵店,新竹,拿鐵,咖啡,110,1,110,LINE Pay,
ORD-14571,2026-02-19,高雄夢時代店,高雄,焦糖瑪奇朵,咖啡,130,1,130,行動支付,
ORD-17015,2026-03-19,信義旗艦店,台北,蜂蜜柚子茶,非咖啡飲品,95,2,190,行動支付,M0227
ORD-18042,2026-03-29,高雄夢時代店,高雄,冷萃咖啡,咖啡,140,1,140,信用卡,
ORD-10415,2026-01-05,板橋車站店,新北,美式咖啡,咖啡,75,2,150,信用卡,M0270
ORD-22913,2026-05-23,信義旗艦店,臺北,肉桂捲,甜點,85,1,85,行動支付,
ORD-11168,2026-01-13,公館店,臺北,拿鐵,咖啡,110,1,110,行動支付,
ORD-11759,2026-01-20,公館店,台北,拿鐵,咖啡,110,1,110,行動支付,
ORD-16146,2026-03-09,板橋車站店,新北,卡布奇諾,咖啡,110,1,110,行動支付,
ORD-22290,2026-05-16,公館店,台北,拿鐵,咖啡,110,1,110,行動支付,M0149
ORD-19392,2026-04-13,台中西屯店,台中,冷萃咖啡,咖啡,140,1,140,行動支付,
ORD-10386,2026-01-05,信義旗艦店,台北,卡布奇諾,咖啡,110,1,110,信用卡,
ORD-23488,2026-05-29,竹北高鐵店,新竹,抹茶拿鐵,非咖啡飲品,120,2,240,信用卡,M0254
ORD-23094,2026-05-24,台中西屯店,台中,卡布奇諾,咖啡,110,2,220,信用卡,M0414
ORD-12998,2026-02-02,板橋車站店,新北,美式咖啡,咖啡,75,1,75,信用卡,M0148
ORD-15729,2026-03-04,台中西屯店,台中,蜂蜜柚子茶,非咖啡飲品,95,2,190,現金,
ORD-12835,2026-01-31,高雄夢時代店,高雄,肉桂捲,甜點,85,1,85,行動支付,
ORD-24532,2026-06-10,信義旗艦店,臺北,抹茶拿鐵,非咖啡飲品,120,2,240,行動支付,M0471
ORD-15840,2026-03-06,信義旗艦店,台北,可頌,甜點,65,1,65,信用卡,M0304
ORD-20915,2026-04-30,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,現金,M0396
ORD-14587,2026-02-20,信義旗艦店,臺北,冷萃咖啡,咖啡,140,1,140,信用卡,
ORD-14325,2026-02-16,高雄夢時代店,高雄,抹茶拿鐵,非咖啡飲品,120,1,120,信用卡,
ORD-12801,2026-01-31,台中西屯店,台中,拿鐵,咖啡,110,1,110,LINE Pay,M0447
ORD-10203,2026-01-03,公館店,台北,蜂蜜柚子茶,非咖啡飲品,95,2,190,行動支付,M0242
ORD-21357,2026-05-05,竹北高鐵店,新竹,焦糖瑪奇朵,咖啡,130,1,130,LINE Pay,
ORD-17762,2026-03-27,信義旗艦店,台北,卡布奇諾,咖啡,110,1,110,現金,
ORD-10772,2026-01-09,竹北高鐵店,新竹,巴斯克起司蛋糕,甜點,120,1,120,信用卡,
ORD-24937,2026-06-14,高雄夢時代店,高雄市,美式咖啡,咖啡,75,3,225,信用卡,
ORD-16401,2026-03-12,竹北高鐵店,新竹,美式咖啡,咖啡,75,1,75,信用卡,
ORD-18722,2026-04-06,公館店,台北,焦糖瑪奇朵,咖啡,130,2,260,行動支付,M0219
ORD-19858,2026-04-19,信義旗艦店,台北,卡布奇諾,咖啡,110,2,220,現金,M0001
ORD-12843,2026-01-31,高雄夢時代店,高雄,拿鐵,咖啡,110,1,110,信用卡,
ORD-23729,2026-06-01,信義旗艦店,臺北,冷萃咖啡,咖啡,140,1,140,LINE Pay,
ORD-22395,2026-05-17,公館店,台北,拿鐵,咖啡,110,1,110,信用卡,M0243
ORD-14429,2026-02-18,公館店,台北,蜂蜜柚子茶,非咖啡飲品,95,1,95,行動支付,
ORD-12149,2026-01-24,台中西屯店,台中,拿鐵,咖啡,110,1,110,LINE Pay,
ORD-12825,2026-01-31,高雄夢時代店,高雄,肉桂捲,甜點,85,1,85,行動支付,M0141
ORD-13783,2026-02-11,公館店,台北,蜂蜜柚子茶,非咖啡飲品,95,1,95,行動支付,
ORD-15890,2026-03-06,台中西屯店,台中,美式咖啡,咖啡,75,2,150,LINE Pay,
ORD-11977,2026-01-22,高雄夢時代店,高雄,拿鐵,咖啡,110,1,110,信用卡,M0402
ORD-12534,2026-01-28,高雄夢時代店,高雄,巴斯克起司蛋糕,甜點,120,2,240,LINE Pay,M0183
ORD-16726,2026-03-15,高雄夢時代店,高雄,拿鐵,咖啡,110,2,220,信用卡,
ORD-17572,2026-03-25,信義旗艦店,臺北,美式咖啡,咖啡,75,2,150,LINE Pay,
ORD-10682,2026-01-08,竹北高鐵店,新竹,可頌,甜點,65,1,65,LINE Pay,M0395
ORD-20881,2026-04-30,公館店,台北,焦糖瑪奇朵,咖啡,130,1,130,現金,
ORD-22796,2026-05-21,高雄夢時代店,高雄,卡布奇諾,咖啡,110,2,220,信用卡,M0177
ORD-21977,2026-05-12,板橋車站店,新北,抹茶拿鐵,非咖啡飲品,120,1,120,行動支付,
ORD-21456,2026-05-06,高雄夢時代店,高雄,冷萃咖啡,咖啡,140,1,140,LINE Pay,
ORD-13908,2026-02-12,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,行動支付,M0093
ORD-15048,2026-02-25,竹北高鐵店,新竹,焦糖瑪奇朵,咖啡,130,1,130,現金,
ORD-23969,2026-06-04,信義旗艦店,臺北,可頌,甜點,65,2,130,現金,
ORD-25903,2026-06-25,台中西屯店,台中,可頌,甜點,65,1,65,信用卡,M0173
ORD-16100,2026-03-08,高雄夢時代店,高雄,可頌,甜點,65,2,130,現金,M0315
ORD-24142,2026-06-06,信義旗艦店,台北,抹茶拿鐵,非咖啡飲品,120,1,120,信用卡,
ORD-12000,2026-01-23,信義旗艦店,臺北,美式咖啡,咖啡,75,1,75,行動支付,
ORD-15776,2026-03-05,公館店,臺北,美式咖啡,咖啡,75,2,150,LINE Pay,
ORD-19020,2026-04-09,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,信用卡,
ORD-12667,2026-01-30,公館店,台北,抹茶拿鐵,非咖啡飲品,120,1,120,信用卡,
ORD-11700,2026-01-19,台中西屯店,台中,焦糖瑪奇朵,咖啡,130,1,130,信用卡,
ORD-17973,2026-03-29,公館店,台北,美式咖啡,咖啡,75,1,75,行動支付,M0250
ORD-25797,2026-06-24,台中西屯店,台中,冷萃咖啡,咖啡,140,2,280,信用卡,
ORD-26166,2026-06-28,板橋車站店,新北,抹茶拿鐵,非咖啡飲品,120,1,120,信用卡,
ORD-18583,2026-04-04,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,信用卡,M0338
ORD-17265,2026-03-21,高雄夢時代店,高雄市,蜂蜜柚子茶,非咖啡飲品,95,2,190,LINE Pay,
ORD-11333,2026-01-15,板橋車站店,新北,拿鐵,咖啡,110,1,110,信用卡,
ORD-22054,2026-05-13,板橋車站店,新北,冷萃咖啡,咖啡,140,3,420,現金,
ORD-25613,2026-06-22,信義旗艦店,台北,美式咖啡,咖啡,75,1,75,行動支付,M0018
ORD-14682,2026-02-21,公館店,台北,可頌,甜點,65,1,65,信用卡,M0355
ORD-13497,2026-02-08,信義旗艦店,台北,焦糖瑪奇朵,咖啡,130,1,130,信用卡,M0447
ORD-23016,2026-05-24,信義旗艦店,台北,卡布奇諾,咖啡,110,2,220,行動支付,
ORD-23629,2026-05-31,信義旗艦店,台北,拿鐵,咖啡,110,1,110,LINE Pay,
ORD-17582,2026-03-25,公館店,台北,冷萃咖啡,咖啡,140,1,140,行動支付,
ORD-24366,2026-06-08,信義旗艦店,台北,冷萃咖啡,咖啡,140,1,140,現金,
ORD-19865,2026-04-19,信義旗艦店,台北,拿鐵,咖啡,110,1,110,信用卡,
ORD-16055,2026-03-08,板橋車站店,新北,美式咖啡,咖啡,75,2,150,信用卡,
ORD-15145,2026-02-26,高雄夢時代店,高雄市,美式咖啡,咖啡,75,1,75,行動支付,
ORD-13220,2026-02-05,信義旗艦店,台北,拿鐵,咖啡,110,2,220,信用卡,M0196
ORD-24121,2026-06-05,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,信用卡,
ORD-10554,2026-01-07,信義旗艦店,台北,拿鐵,咖啡,110,1,110,行動支付,
ORD-10947,2026-01-11,信義旗艦店,台北,抹茶拿鐵,非咖啡飲品,120,1,120,現金,M0160
ORD-13771,2026-02-11,信義旗艦店,台北,焦糖瑪奇朵,咖啡,130,1,130,信用卡,
ORD-26313,2026-06-30,信義旗艦店,台北,拿鐵,咖啡,110,1,110,行動支付,
ORD-22749,2026-05-21,公館店,台北,巴斯克起司蛋糕,甜點,120,1,120,行動支付,M0335
ORD-16428,2026-03-12,高雄夢時代店,高雄,可頌,甜點,65,1,65,LINE Pay,M0345
ORD-19732,2026-04-17,高雄夢時代店,高雄市,美式咖啡,咖啡,75,2,150,信用卡,
ORD-24110,2026-06-05,台中西屯店,台中,美式咖啡,咖啡,75,1,75,LINE Pay,
ORD-21241,2026-05-04,公館店,台北,肉桂捲,甜點,85,1,85,信用卡,M0141
ORD-14355,2026-02-17,公館店,台北,拿鐵,咖啡,110,2,220,行動支付,M0223
ORD-21744,2026-05-09,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,信用卡,
ORD-13400,2026-02-07,信義旗艦店,台北,焦糖瑪奇朵,咖啡,130,1,130,現金,
ORD-20402,2026-04-25,信義旗艦店,台北,巴斯克起司蛋糕,甜點,120,1,120,信用卡,M0473
ORD-25128,2026-06-16,高雄夢時代店,高雄市,美式咖啡,咖啡,75,1,75,LINE Pay,
ORD-23929,2026-06-03,竹北高鐵店,新竹,拿鐵,咖啡,110,1,110,行動支付,
ORD-11002,2026-01-11,竹北高鐵店,新竹,美式咖啡,咖啡,75,2,150,信用卡,
ORD-13459,2026-02-07,高雄夢時代店,高雄,美式咖啡,咖啡,75,2,150,信用卡,
ORD-10880,2026-01-10,竹北高鐵店,新竹,拿鐵,咖啡,110,1,110,,M0077
ORD-13292,2026-02-05,高雄夢時代店,高雄,蜂蜜柚子茶,非咖啡飲品,95,1,95,現金,
ORD-19346,2026-04-13,信義旗艦店,台北,巴斯克起司蛋糕,甜點,120,2,240,信用卡,
ORD-16635,2026-03-14,高雄夢時代店,高雄,巴斯克起司蛋糕,甜點,120,1,120,信用卡,
ORD-13480,2026-02-08,信義旗艦店,台北,抹茶拿鐵,非咖啡飲品,120,2,240,現金,
ORD-21736,2026-05-09,高雄夢時代店,高雄,冷萃咖啡,咖啡,140,1,140,LINE Pay,
ORD-17458,2026-03-23,高雄夢時代店,高雄,拿鐵,咖啡,110,1,110,行動支付,M0097
ORD-25551,2026-06-21,竹北高鐵店,新竹,抹茶拿鐵,非咖啡飲品,120,3,360,信用卡,M0144
ORD-13344,2026-02-06,竹北高鐵店,新竹,拿鐵,咖啡,110,2,220,現金,M0106
ORD-20226,2026-04-23,信義旗艦店,台北,抹茶拿鐵,非咖啡飲品,120,1,120,行動支付,M0136
ORD-17715,2026-03-26,台中西屯店,台中,肉桂捲,甜點,85,2,170,現金,
ORD-21342,2026-05-05,板橋車站店,新北,卡布奇諾,咖啡,110,1,110,行動支付,M0153
ORD-16270,2026-03-11,信義旗艦店,台北,巴斯克起司蛋糕,甜點,120,1,120,信用卡,
ORD-13614,2026-02-09,公館店,台北,美式咖啡,咖啡,75,1,75,信用卡,
ORD-25603,2026-06-22,信義旗艦店,臺北,焦糖瑪奇朵,咖啡,130,1,130,LINE Pay,M0350
ORD-26280,2026-06-29,台中西屯店,台中,拿鐵,咖啡,110,1,110,信用卡,
ORD-22517,2026-05-18,竹北高鐵店,新竹,冷萃咖啡,咖啡,140,2,280,LINE Pay,
ORD-13573,2026-02-08,高雄夢時代店,高雄,拿鐵,咖啡,110,1,110,LINE Pay,
ORD-21899,2026-05-11,板橋車站店,新北,巴斯克起司蛋糕,甜點,120,1,120,信用卡,M0446
ORD-16813,2026-03-16,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,行動支付,M0271
ORD-15195,2026-02-27,板橋車站店,新北,美式咖啡,咖啡,75,2,150,信用卡,M0180
ORD-16125,2026-03-09,信義旗艦店,臺北,卡布奇諾,咖啡,110,1,110,信用卡,
ORD-18723,2026-04-06,公館店,台北,卡布奇諾,咖啡,110,1,110,信用卡,
ORD-16992,2026-03-18,高雄夢時代店,高雄,蜂蜜柚子茶,非咖啡飲品,95,2,190,現金,M0091
ORD-26350,2026-06-30,竹北高鐵店,新竹,冷萃咖啡,咖啡,140,2,280,行動支付,M0375
ORD-11113,2026-01-12,台中西屯店,台中,拿鐵,咖啡,110,1,110,信用卡,M0129
ORD-12878,2026-02-01,公館店,台北,卡布奇諾,咖啡,110,2,220,信用卡,
ORD-21057,2026-05-02,板橋車站店,新北,拿鐵,咖啡,110,1,110,LINE Pay,M0287
ORD-24478,2026-06-09,板橋車站店,新北,卡布奇諾,咖啡,110,1,110,LINE Pay,M0118
ORD-21022,2026-05-02,信義旗艦店,台北,冷萃咖啡,咖啡,140,1,140,行動支付,M0301
ORD-21835,2026-05-10,台中西屯店,台中,拿鐵,咖啡,110,2,220,信用卡,
ORD-23274,2026-05-26,高雄夢時代店,高雄,美式咖啡,咖啡,75,3,225,現金,
ORD-12817,2026-01-31,高雄夢時代店,高雄,拿鐵,咖啡,110,1,110,信用卡,M0279
ORD-17862,2026-03-28,公館店,台北,焦糖瑪奇朵,咖啡,130,1,130,信用卡,
ORD-18803,2026-04-07,公館店,台北,可頌,甜點,65,2,130,行動支付,
ORD-13404,2026-02-07,信義旗艦店,台北,拿鐵,咖啡,110,2,220,行動支付,
ORD-16724,2026-03-15,高雄夢時代店,高雄市,焦糖瑪奇朵,咖啡,130,2,260,信用卡,M0205
ORD-12438,2026-01-27,竹北高鐵店,新竹,卡布奇諾,咖啡,110,1,110,現金,
ORD-18164,2026-03-31,信義旗艦店,台北,抹茶拿鐵,非咖啡飲品,120,1,120,行動支付,M0387
ORD-21501,2026-05-07,竹北高鐵店,新竹,美式咖啡,咖啡,75,2,150,行動支付,
ORD-13429,2026-02-07,板橋車站店,新北,焦糖瑪奇朵,咖啡,130,2,260,信用卡,
ORD-26207,2026-06-28,高雄夢時代店,高雄,拿鐵,咖啡,110,3,330,LINE Pay,
ORD-11342,2026-01-15,竹北高鐵店,新竹,拿鐵,咖啡,110,2,220,LINE Pay,
ORD-17643,2026-03-25,高雄夢時代店,高雄,肉桂捲,甜點,85,1,85,信用卡,
ORD-22045,2026-05-13,公館店,台北,肉桂捲,甜點,85,1,85,LINE Pay,
ORD-17480,2026-03-24,信義旗艦店,臺北,美式咖啡,咖啡,75,1,75,行動支付,
ORD-14628,2026-02-20,高雄夢時代店,高雄,美式咖啡,咖啡,75,3,225,LINE Pay,
ORD-10588,2026-01-07,竹北高鐵店,新竹,焦糖瑪奇朵,咖啡,130,1,130,現金,M0107
ORD-24364,2026-06-08,信義旗艦店,台北,肉桂捲,甜點,85,3,255,,
ORD-15284,2026-02-28,公館店,台北,可頌,甜點,65,1,65,LINE Pay,M0211
ORD-21706,2026-05-09,竹北高鐵店,新竹,美式咖啡,咖啡,75,1,75,行動支付,
ORD-20466,2026-04-25,高雄夢時代店,高雄,卡布奇諾,咖啡,110,1,110,信用卡,
ORD-22165,2026-05-14,高雄夢時代店,高雄,焦糖瑪奇朵,咖啡,130,1,130,信用卡,
ORD-13721,2026-02-10,竹北高鐵店,新竹,巴斯克起司蛋糕,甜點,120,1,120,信用卡,M0182
ORD-17525,2026-03-24,台中西屯店,台中,美式咖啡,咖啡,75,2,150,LINE Pay,
ORD-15394,2026-03-01,公館店,台北,可頌,甜點,65,1,65,行動支付,
ORD-25531,2026-06-21,板橋車站店,新北,美式咖啡,咖啡,75,1,75,行動支付,
ORD-16811,2026-03-16,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,信用卡,
ORD-16906,2026-03-17,高雄夢時代店,高雄,拿鐵,咖啡,110,1,110,信用卡,
ORD-15623,2026-03-03,竹北高鐵店,新竹,焦糖瑪奇朵,咖啡,130,2,260,行動支付,
ORD-17197,2026-03-21,信義旗艦店,台北,拿鐵,咖啡,110,1,110,行動支付,M0380
ORD-15453,2026-03-01,高雄夢時代店,高雄,美式咖啡,咖啡,75,2,150,行動支付,
ORD-10503,2026-01-06,板橋車站店,新北,蜂蜜柚子茶,非咖啡飲品,95,2,190,現金,
ORD-14452,2026-02-18,台中西屯店,台中,美式咖啡,咖啡,75,1,75,現金,
ORD-19738,2026-04-17,高雄夢時代店,高雄,可頌,甜點,65,2,130,現金,M0130
ORD-19542,2026-04-15,台中西屯店,台中,抹茶拿鐵,非咖啡飲品,120,2,240,行動支付,M0305
ORD-21900,2026-05-11,板橋車站店,新北,卡布奇諾,咖啡,110,2,220,行動支付,
ORD-18333,2026-04-02,信義旗艦店,台北,肉桂捲,甜點,85,1,85,LINE Pay,
ORD-12739,2026-01-31,信義旗艦店,臺北,肉桂捲,甜點,85,1,85,信用卡,M0051
ORD-11937,2026-01-22,公館店,台北,美式咖啡,咖啡,75,3,225,LINE Pay,M0407
ORD-12278,2026-01-25,高雄夢時代店,高雄,拿鐵,咖啡,110,1,110,行動支付,
ORD-16190,2026-03-09,高雄夢時代店,高雄,蜂蜜柚子茶,非咖啡飲品,95,2,190,現金,
ORD-21797,2026-05-10,公館店,台北,美式咖啡,咖啡,75,1,75,LINE Pay,
ORD-15700,2026-03-04,公館店,台北,肉桂捲,甜點,85,1,85,現金,
ORD-24811,2026-06-13,竹北高鐵店,新竹,美式咖啡,咖啡,75,1,75,行動支付,M0201
ORD-16474,2026-03-13,板橋車站店,新北,冷萃咖啡,咖啡,140,1,140,現金,
ORD-20378,2026-04-24,高雄夢時代店,高雄,可頌,甜點,65,2,130,行動支付,
ORD-25225,2026-06-18,信義旗艦店,台北,冷萃咖啡,咖啡,140,2,280,信用卡,
ORD-24175,2026-06-06,公館店,台北,冷萃咖啡,咖啡,140,1,140,行動支付,
ORD-24701,2026-06-12,信義旗艦店,台北,焦糖瑪奇朵,咖啡,130,1,130,信用卡,
ORD-21769,2026-05-10,信義旗艦店,台北,拿鐵,咖啡,110,1,110,現金,M0268
ORD-15219,2026-02-27,台中西屯店,台中,可頌,甜點,65,2,130,信用卡,M0335
ORD-19489,2026-04-15,信義旗艦店,台北,拿鐵,咖啡,110,1,110,LINE Pay,M0114
ORD-14997,2026-02-24,高雄夢時代店,高雄,拿鐵,咖啡,110,2,220,行動支付,M0122
ORD-17170,2026-03-20,高雄夢時代店,高雄,焦糖瑪奇朵,咖啡,130,2,260,LINE Pay,M0450
ORD-11481,2026-01-17,信義旗艦店,台北,美式咖啡,咖啡,75,3,225,信用卡,
ORD-18812,2026-04-07,板橋車站店,新北,巴斯克起司蛋糕,甜點,120,2,240,信用卡,M0197
ORD-18694,2026-04-05,高雄夢時代店,高雄,冷萃咖啡,咖啡,140,1,140,行動支付,
ORD-17745,2026-03-27,信義旗艦店,台北,肉桂捲,甜點,85,1,85,現金,M0469
ORD-23453,2026-05-29,信義旗艦店,台北,拿鐵,咖啡,110,1,110,信用卡,M0439
ORD-12337,2026-01-26,板橋車站店,新北,可頌,甜點,65,1,65,信用卡,
ORD-20189,2026-04-22,竹北高鐵店,新竹,拿鐵,咖啡,110,1,110,行動支付,M0104
ORD-17597,2026-03-25,竹北高鐵店,新竹,美式咖啡,咖啡,75,3,225,LINE Pay,
ORD-16007,2026-03-07,高雄夢時代店,高雄市,拿鐵,咖啡,110,1,110,LINE Pay,
ORD-19232,2026-04-11,高雄夢時代店,高雄,可頌,甜點,65,2,130,現金,
ORD-14773,2026-02-22,信義旗艦店,臺北,肉桂捲,甜點,85,1,85,信用卡,
ORD-15361,2026-03-01,信義旗艦店,台北,拿鐵,咖啡,110,3,330,現金,M0161
ORD-16663,2026-03-15,信義旗艦店,台北,抹茶拿鐵,非咖啡飲品,120,1,120,LINE Pay,
ORD-10400,2026-01-05,公館店,台北,蜂蜜柚子茶,非咖啡飲品,95,1,95,現金,M0292
ORD-14202,2026-02-15,台中西屯店,台中,巴斯克起司蛋糕,甜點,120,2,240,行動支付,
ORD-18055,2026-03-29,高雄夢時代店,高雄,拿鐵,咖啡,110,3,330,信用卡,
ORD-25783,2026-06-24,板橋車站店,新北,巴斯克起司蛋糕,甜點,120,1,120,信用卡,
